arch,library,host,group,matrix,n,nnz_upper,mtype,cores,rep,analyze_s,factor_s,factor_gflops,factor_nnz,fill_ratio,solve1_s,solve8_s,solve40_s,logdet,status
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk14.mtx,1806,32630,2,16,2,0.014830,0.000575,19.128,128651,3.943,0.000161,0.000724,0.001120,30355.02062,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk14.mtx,1806,32630,2,16,3,0.015022,0.000574,19.168,128651,3.943,0.000160,0.000788,0.001074,30355.02062,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk14.mtx,1806,32630,2,32,1,0.016495,0.000506,21.742,128651,3.943,0.000162,0.000806,0.001303,30355.02062,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk14.mtx,1806,32630,2,32,2,0.016405,0.000516,21.320,128651,3.943,0.000159,0.000961,0.001366,30355.02062,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk14.mtx,1806,32630,2,32,3,0.016570,0.000555,19.818,128651,3.943,0.000161,0.000947,0.001369,30355.02062,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk14.mtx,1806,32630,2,40,1,0.022200,0.000542,20.298,128651,3.943,0.000158,0.000967,0.001455,30355.02062,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk14.mtx,1806,32630,2,40,2,0.017046,0.000994,11.067,128651,3.943,0.000160,0.000925,0.001378,30355.02062,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk14.mtx,1806,32630,2,40,3,0.018916,0.000537,20.487,128651,3.943,0.000159,0.000972,0.001894,30355.02062,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk15.mtx,3948,60882,2,1,1,0.037336,0.010492,10.293,543355,8.925,0.000619,0.002953,0.009492,65400.18122,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk15.mtx,3948,60882,2,1,2,0.036409,0.010496,10.289,543355,8.925,0.000616,0.002946,0.009487,65400.18122,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk15.mtx,3948,60882,2,1,3,0.036598,0.010501,10.285,543355,8.925,0.000617,0.002949,0.009497,65400.18122,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk15.mtx,3948,60882,2,2,1,0.035880,0.006020,17.442,537211,8.824,0.000377,0.002379,0.005581,65400.18122,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk15.mtx,3948,60882,2,2,2,0.036138,0.006022,17.436,537211,8.824,0.000380,0.002419,0.005599,65400.18122,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk15.mtx,3948,60882,2,2,3,0.035915,0.006040,17.385,537211,8.824,0.000377,0.002382,0.005582,65400.18122,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk15.mtx,3948,60882,2,4,1,0.036183,0.003947,26.602,537211,8.824,0.000262,0.001903,0.004013,65400.18122,ok
intel,pardiso-2025.3,cn512-24-l,group1,bcsstk15.mtx,3948,60882,2,4,2,0.036673,0.003971,26.441,537211,8.824,0.000264,0.001928,0.004081,65400.18122,ok
