matrix,n,nnz,source,sTiles,PARDISO,MUMPS,CHOLMOD,PaStiX,symPACK
Fault_639,638802,28614564,SuiteSparse,79.002000,5.583420,4.964046,6.121306,4.916665,6.187730
G2_circuit,150102,726674,SuiteSparse,0.631000,0.540602,0.870154,0.944892,0.326144,1.127450
gyro_k,17361,1021159,SuiteSparse,0.403000,0.108231,0.070782,0.027343,0.098939,0.097914
gyro_m,17361,340431,SuiteSparse,0.295000,0.140410,0.130017,0.017585,0.096231,0.212483
hood,220542,10768436,SuiteSparse,1.972000,0.876479,0.525269,0.309457,0.772650,0.730397
inline_1,503712,36816342,SuiteSparse,15.084000,5.596084,4.634163,5.635734,3.346813,5.931060
ldoor,952203,46522475,SuiteSparse,14.543000,3.966803,2.570845,3.590656,3.744714,3.777490
m_t1,97578,9753570,SuiteSparse,2.854000,0.730909,0.381024,0.539263,0.677408,0.710276
msc10848,10848,1229778,SuiteSparse,0.447000,0.089371,0.046549,0.024518,0.104403,0.077344
msc23052,23052,1154814,SuiteSparse,0.534000,0.093332,0.047723,0.028295,0.098638,0.089963
nasa2910,2910,174296,SuiteSparse,0.113000,0.028337,0.003941,0.005342,0.038331,0.033092
nasa4704,4704,104756,SuiteSparse,0.062000,0.022568,0.003944,0.004974,0.032346,0.261379
nasasrb,54870,2677324,SuiteSparse,1.274000,0.465583,0.359369,0.084482,0.277896,0.479548
nd12k,36000,14220946,SuiteSparse,10.101000,2.272902,1.528404,2.603449,2.016899,2.821790
nd3k,9000,3279690,SuiteSparse,4.082000,0.508781,0.146774,0.483780,0.505609,0.492197
nd6k,18000,6897316,SuiteSparse,4.185000,1.038736,0.686898,1.147501,1.036658,1.336700
offshore,259789,4242673,SuiteSparse,6.123000,2.895000,3.265642,3.790087,1.530919,3.872450
oilpan,73752,3597188,SuiteSparse,1.469000,0.251883,0.133804,0.085552,0.249259,0.196255
parabolic_fem,525825,3674625,SuiteSparse,3.375000,2.296261,3.394623,0.611842,1.024850,4.025590
pwtk,217918,11634424,SuiteSparse,3.780000,0.936449,0.600891,0.807910,0.804327,0.806436
s3dkq4m2,90449,4820891,SuiteSparse,2.079000,0.328708,0.175179,0.254376,0.314381,0.266464
s3dkt3m2,90449,3753461,SuiteSparse,1.281000,0.273874,0.159093,0.213466,0.260275,0.255595
ship_001,34920,4644230,SuiteSparse,1.150000,0.335076,0.144567,0.222305,0.332441,0.218940
ship_003,121728,8086034,SuiteSparse,4.326000,0.690517,0.404721,0.561447,0.638653,0.635461
shipsec1,140874,7813404,SuiteSparse,3.013000,0.632878,0.388377,0.537789,0.595870,0.570181
shipsec5,179860,10113096,SuiteSparse,4.007000,0.846601,0.524570,0.802545,0.762318,0.811904
shipsec8,114919,6653399,SuiteSparse,2.720000,0.558582,0.332241,0.453892,0.545698,0.518741
smt,25710,3753184,SuiteSparse,1.315000,0.357632,0.209885,0.279421,0.312316,0.279399
thermal1,82654,574458,SuiteSparse,1.471000,0.412948,0.470579,0.083331,0.195516,0.548680
thermomech_dM,204316,1423116,SuiteSparse,0.796000,1.127308,1.306265,0.208003,0.423794,1.494910
thermomech_TC,102158,711558,SuiteSparse,0.389000,0.526523,0.612180,0.107717,0.258440,0.742161
thermomech_TK,102158,711558,SuiteSparse,0.389000,0.526216,0.612229,0.108569,0.294694,0.722136
thread,29736,4470048,SuiteSparse,1.579000,0.439572,0.257365,0.348774,0.393086,0.432226
tmt_sym,726713,5080961,SuiteSparse,5.744000,3.053376,4.810207,5.799985,1.637465,5.949690
